Manufacturer,Model,Titel,Date,Model/Type,Price,Currency,Website,Date_scraped,Type,Subtype,Group,Config,Storage,Storage Size (L),Rated Power low T [kW],Rated Power medium T [kW],Refrigerant,Mass of Refrigerant [kg],SPL indoor low Power [dBA],SPL outdoor low Power [dBA],SPL indoor high Power [dBA],SPL outdoor high Power [dBA],Bivalence temperature [°C],Tolerance temperature [°C],Max. water heating temperature [°C],Power heating rod low T [kW],Power heating rod medium T [kW],Poff [W],PTOS [W],PSB [W],PCKS [W],eta low T [%],eta medium T [%],SCOP,SEER low T,SEER medium T,P_th_h_ref [W],P_th_c_ref [W],P_el_h_ref [W],P_el_c_ref [W],COP_ref,EER_c_ref,Cluster
 Bosch Thermotechnik GmbH,Bosch CS5800i/6800iAW 4/5/7 OR ,CS6800iAW 7 ORE-S,30.03.2023,Bosch Set BOPA CS772 AW 7 OR-S CS6800iAW 12 E + BH120/WH290 (7739622395),9933.0,EUR,idealo,2025-03-14,Outdoor Air/Water,Regulated,1.0,monoblock,hydraulic module,0.0,6.6,6.6,R290,"0,950 kg",31.0,42.0,31.0,42.0,-7.0,-10.0,75.0,0.74,1.39,15.0,15.0,15.0,32.0,180.0,138.0,4.58,,,5940.0,,2842.0,,2.09,,1
 Bosch Thermotechnik GmbH,Bosch CS5800i/6800iAW 4/5/7 OR ,CS5800iAW 4 ORM-S,30.03.2023,"BOSCH Luftwärmepumpen-Paket BOPA CS761 AW 4 OR-S, CS5800iAW 12 M, 7739622385",10999.0,€,raleo,2025-03-12,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,170.0,4.4,4.0,R290,"0,950 kg",37.0,40.0,37.0,40.0,-7.0,-10.0,75.0,0.79,0.9,15.0,14.0,15.0,33.0,179.0,127.0,4.55,,,3510.0,,1671.0,,2.1,,1
 Bosch Thermotechnik GmbH,Bosch CS5800i/6800iAW 4/5/7 OR ,CS5800iAW 5 ORMB-S,30.03.2023,"BOSCH Luftwärmepumpen-Paket BOPA CS774 AW 5 OR-S, CS5800iAW 12 MB, HR300, 7739622864",10999.0,€,raleo,2025-03-12,Outdoor Air/Water,Regulated,1.0,monoblock,hydraulic module,70.0,6.2,6.2,R290,"0,950 kg",37.0,42.0,37.0,42.0,-7.0,-10.0,75.0,0.76,1.12,16.0,16.0,16.0,31.0,179.0,136.0,4.55,,,5530.0,,2646.0,,2.09,,1
 Bosch Thermotechnik GmbH,Bosch CS5800i/6800iAW 4/5/7 OR ,CS5800iAW 4 ORMB-S,30.03.2023,"BOSCH Luftwärmepumpen-Paket BOPA CS776 AW 4 OR-S, CS5800iAW 12 MB, SWDP300-2O C, 7739622865",10999.0,€,raleo,2025-03-12,Outdoor Air/Water,Regulated,1.0,monoblock,hydraulic module,70.0,4.4,4.0,R290,"0,950 kg",37.0,40.0,37.0,40.0,-7.0,-10.0,75.0,0.78,0.87,15.0,14.0,15.0,33.0,179.0,128.0,4.55,,,3530.0,,1673.0,,2.11,,1
 Bosch Thermotechnik GmbH,Bosch CS5800i/6800iAW 4/5/7 OR ,CS5800iAW 7 ORMB-S,30.03.2023,"BOSCH Luftwärmepumpen-Paket BOPA CS775 AW 7 OR-S, CS5800iAW 12 MB, HR300, 7739622867",11499.0,€,raleo,2025-03-12,Outdoor Air/Water,Regulated,1.0,monoblock,hydraulic module,70.0,6.6,6.6,R290,"0,950 kg",37.0,42.0,37.0,42.0,-7.0,-10.0,75.0,0.74,1.41,15.0,15.0,15.0,32.0,180.0,136.0,4.56,,,5980.0,,2917.0,,2.05,,1
 Bosch Thermotechnik GmbH,Bosch CS5800i/6800iAW 4/5/7 OR ,CS5800iAW 4 ORMB-S (60°C),30.03.2023,"BOSCH Luftwärmepumpen-Paket BOPA CS773 AW 4 OR-S, CS5800iAW 12 MB, HR300, 7739622863",10599.0,€,raleo,2025-03-12,Outdoor Air/Water,Regulated,1.0,monoblock,hydraulic module,70.0,4.4,4.0,R290,"0,950 kg",37.0,40.0,37.0,40.0,-7.0,-10.0,60.0,0.78,0.87,15.0,14.0,15.0,33.0,179.0,128.0,4.55,,,3530.0,,1673.0,,2.11,,1
 Bosch Thermotechnik GmbH,Bosch CS5800i/6800iAW 10/12 OR,CS5800iAW 10 ORM-T,11.10.2023,"BOSCH Luftwärmepumpen-Paket BOPA CS788 AW 10 OR-T, CS5800iAW 12 M, 7739623429",13999.0,€,raleo,2025-03-12,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,170.0,10.0,10.0,R290,"1,700 kg",40.0,42.0,40.0,42.0,-7.0,-10.0,75.0,0.72,1.29,33.0,18.0,33.0,34.0,186.0,141.0,4.73,,,9270.0,,4214.0,,2.2,,3
 Bosch Thermotechnik GmbH,Bosch CS5800i/6800iAW 4/5/7 OR ,CS5800iAW 7 ORM-S,30.03.2023,"BOSCH Luftwärmepumpen-Paket BOPA CS763 AW 7 OR-S, CS5800iAW 12 M, 7739622388",11999.0,€,raleo,2025-03-12,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,170.0,6.6,6.6,R290,"0,950 kg",37.0,42.0,37.0,42.0,-7.0,-10.0,75.0,0.75,1.44,15.0,15.0,15.0,32.0,179.0,136.0,4.56,,,5900.0,,2850.0,,2.07,,1
 Bosch Thermotechnik GmbH,Bosch CS5800i/6800iAW 10/12 OR,CS5800iAW 12 ORMB-T,11.10.2023,"BOSCH Luftwärmepumpen-Paket BOPA CS806 AW 12 OR-T, CS5800iAW 12 MB, WH 290, 7739624195",14999.0,€,raleo,2025-03-12,Outdoor Air/Water,Regulated,1.0,monoblock,hydraulic module,70.0,12.2,12.0,R290,"1,700 kg",37.0,45.0,37.0,45.0,-7.0,-10.0,75.0,0.36,0.86,33.0,18.0,33.0,67.0,183.0,136.0,4.64,,,11100.0,,5842.0,,1.9,,3
 Bosch Thermotechnik GmbH,Bosch CS5800i/6800iAW 4/5/7 OR ,CS5800iAW 4 ORE-S,30.03.2023,"BOSCH Luftwärmepumpen-Paket BOPA CS767 AW 4 OR-S, CS5800iAW 12 E, BST 50,HR300, 7739622384",9999.0,€,raleo,2025-03-12,Outdoor Air/Water,Regulated,1.0,monoblock,hydraulic module,0.0,4.4,4.0,R290,"0,950 kg",31.0,40.0,31.0,40.0,-7.0,-10.0,75.0,0.77,0.85,15.0,14.0,15.0,33.0,180.0,130.0,4.58,,,3550.0,,1675.0,,2.12,,1
 Bosch Thermotechnik GmbH,Bosch CS5800i/6800iAW 10/12 OR,CS5800iAW 10 ORE-T,11.10.2023,"BOSCH Luftwärmepumpen-Paket BOPA CS792 AW 10 OR-T, CS5800iAW 12 E, BH120,WH290, 7739623435",13399.0,€,raleo,2025-03-12,Outdoor Air/Water,Regulated,1.0,monoblock,hydraulic module,0.0,10.0,10.0,R290,"1,700 kg",31.0,42.0,31.0,42.0,-7.0,-10.0,75.0,0.71,1.23,33.0,18.0,33.0,34.0,188.0,142.0,4.77,,,9320.0,,4198.0,,2.22,,3
 Bosch Thermotechnik GmbH,Bosch CS5800i/6800iAW 4/5/7 OR ,CS5800iAW 7 ORE-S,30.03.2023,"BOSCH Luftwärmepumpen-Paket BOPA CS769 AW 7 OR-S, CS5800iAW 12 E, BST 50,HR300, 7739622390",10999.0,€,raleo,2025-03-12,Outdoor Air/Water,Regulated,1.0,monoblock,hydraulic module,0.0,6.6,6.6,R290,"0,950 kg",31.0,42.0,31.0,42.0,-7.0,-10.0,75.0,0.74,1.39,15.0,15.0,15.0,32.0,180.0,138.0,4.58,,,5940.0,,2842.0,,2.09,,1
 Bosch Thermotechnik GmbH,Bosch CS5800i/6800iAW 10/12 OR,CS5800iAW 12 ORM-T,11.10.2023,"BOSCH Luftwärmepumpen-Paket BOPA CS789 AW 12 OR-T, CS5800iAW 12 M, 7739623436",14999.0,€,raleo,2025-03-12,Outdoor Air/Water,Regulated,1.0,monoblock,warm-water tank,170.0,12.2,12.0,R290,"1,700 kg",40.0,45.0,40.0,45.0,-7.0,-10.0,75.0,0.37,0.89,33.0,18.0,33.0,67.0,183.0,136.0,4.64,,,11070.0,,5826.0,,1.9,,3
 Bosch Thermotechnik GmbH,Bosch CS5800i/6800iAW 4/5/7 OR ,CS5800iAW 5 ORE-S,30.03.2023,"BOSCH Luftwärmepumpen-Paket BOPA CS768 AW 5 OR-S, CS5800iAW 12 E, BST 50,HR300, 7739622386",10399.0,€,raleo,2025-03-12,Outdoor Air/Water,Regulated,1.0,monoblock,hydraulic module,0.0,6.2,6.2,R290,"0,950 kg",31.0,42.0,31.0,42.0,-7.0,-10.0,75.0,0.75,1.1,16.0,16.0,16.0,31.0,180.0,137.0,4.57,,,5570.0,,2640.0,,2.11,,1
 Bosch Thermotechnik GmbH,Bosch CS5800i/6800iAW 10/12 OR,CS5800iAW 12 ORE-T,11.10.2023,"BOSCH Luftwärmepumpen-Paket BOPA CS793 AW 12 OR-T, CS5800iAW 12 E, BH120,WH290, 7739623442",14399.0,€,raleo,2025-03-12,Outdoor Air/Water,Regulated,1.0,monoblock,hydraulic module,0.0,12.2,12.0,R290,"1,700 kg",31.0,45.0,31.0,45.0,-7.0,-10.0,75.0,0.38,0.84,33.0,18.0,33.0,67.0,184.0,137.0,4.66,,,11110.0,,5817.0,,1.91,,3
